seq_identity,pocket_similarity,regime
16.82,0.9327,Twilight_Zone
15.25,0.9435,Twilight_Zone
15.57,0.8929,Twilight_Zone
16.18,0.9651,Twilight_Zone
6.07,0.9389,Twilight_Zone
10.2,0.9298,Twilight_Zone
6.68,0.9852,Twilight_Zone
17.51,0.9329,Twilight_Zone
14.04,0.9834,Twilight_Zone
9.8,0.9314,Twilight_Zone
5.92,0.9253,Twilight_Zone
9.51,0.9747,Twilight_Zone
9.72,0.9298,Twilight_Zone
15.58,0.9665,Twilight_Zone
14.24,0.9737,Twilight_Zone
17.86,0.9689,Twilight_Zone
11.85,0.9401,Twilight_Zone
6.73,0.9581,Twilight_Zone
15.34,0.9619,Twilight_Zone
16.03,0.8908,Twilight_Zone
13.14,0.9534,Twilight_Zone
16.18,0.9723,Twilight_Zone
12.16,0.9763,Twilight_Zone
12.58,0.9712,Twilight_Zone
11.2,0.9525,Twilight_Zone
5.37,0.9719,Twilight_Zone
6.56,0.9464,Twilight_Zone
5.46,0.9821,Twilight_Zone
14.23,0.9713,Twilight_Zone
9.56,0.9474,Twilight_Zone
12.37,0.9505,Twilight_Zone
18.16,0.9581,Twilight_Zone
8.61,0.9594,Twilight_Zone
10.95,0.9726,Twilight_Zone
15.96,0.9833,Twilight_Zone
8.32,0.9395,Twilight_Zone
6.12,0.9507,Twilight_Zone
9.2,0.9301,Twilight_Zone
7.34,0.9332,Twilight_Zone
18.48,0.9561,Twilight_Zone
16.72,0.9429,Twilight_Zone
14.18,0.9449,Twilight_Zone
17.64,0.9444,Twilight_Zone
16.65,0.9394,Twilight_Zone
7.71,0.9263,Twilight_Zone
17.94,0.9849,Twilight_Zone
12.82,0.9409,Twilight_Zone
16.71,0.9534,Twilight_Zone
17.99,0.967,Twilight_Zone
9.61,0.9523,Twilight_Zone
6.6,0.9766,Twilight_Zone
8.31,0.9418,Twilight_Zone
11.19,0.9208,Twilight_Zone
16.86,0.9551,Twilight_Zone
17.48,0.9198,Twilight_Zone
5.1,0.9309,Twilight_Zone
12.41,0.9863,Twilight_Zone
11.05,0.962,Twilight_Zone
8.22,0.9364,Twilight_Zone
6.74,0.9743,Twilight_Zone
9.9,0.9218,Twilight_Zone
18.67,0.9704,Twilight_Zone
9.69,0.9516,Twilight_Zone
12.52,0.9666,Twilight_Zone
15.19,0.9714,Twilight_Zone
10.27,0.9677,Twilight_Zone
19.09,0.9446,Twilight_Zone
18.96,0.935,Twilight_Zone
8.65,0.9492,Twilight_Zone
12.21,0.8849,Twilight_Zone
9.36,0.9504,Twilight_Zone
9.13,0.9535,Twilight_Zone
5.53,0.9543,Twilight_Zone
13.84,0.9433,Twilight_Zone
12.29,0.9666,Twilight_Zone
5.75,0.9183,Twilight_Zone
9.04,0.9517,Twilight_Zone
18.17,0.9542,Twilight_Zone
8.47,0.9638,Twilight_Zone
7.1,0.9586,Twilight_Zone
12.1,0.9532,Twilight_Zone
19.29,0.9426,Twilight_Zone
8.51,0.9527,Twilight_Zone
14.75,0.9837,Twilight_Zone
16.04,0.9866,Twilight_Zone
8.45,0.9754,Twilight_Zone
15.56,0.9558,Twilight_Zone
10.33,0.9488,Twilight_Zone
14.17,0.9239,Twilight_Zone
14.19,0.9642,Twilight_Zone
12.77,0.9394,Twilight_Zone
6.31,0.9118,Twilight_Zone
17.11,0.9535,Twilight_Zone
9.65,0.9856,Twilight_Zone
7.7,0.9213,Twilight_Zone
5.59,0.9608,Twilight_Zone
13.57,0.9626,Twilight_Zone
14.82,0.9542,Twilight_Zone
5.24,0.9677,Twilight_Zone
12.43,0.9276,Twilight_Zone
8.28,0.9468,Twilight_Zone
14.36,0.9565,Twilight_Zone
7.53,0.9309,Twilight_Zone
15.02,0.9345,Twilight_Zone
10.61,0.9523,Twilight_Zone
18.58,0.942,Twilight_Zone
6.99,0.9495,Twilight_Zone
9.95,0.9759,Twilight_Zone
6.65,0.9643,Twilight_Zone
18.41,0.9405,Twilight_Zone
17.72,0.9589,Twilight_Zone
8.74,0.9177,Twilight_Zone
14.57,0.9015,Twilight_Zone
16.85,0.9503,Twilight_Zone
13.05,0.9608,Twilight_Zone
12.68,0.9721,Twilight_Zone
8.51,0.9728,Twilight_Zone
6.35,0.9727,Twilight_Zone
18.01,0.9722,Twilight_Zone
18.06,0.9459,Twilight_Zone
14.18,0.9334,Twilight_Zone
9.92,0.9425,Twilight_Zone
10.06,0.9446,Twilight_Zone
15.53,0.9599,Twilight_Zone
18.01,0.9137,Twilight_Zone
17.86,0.9745,Twilight_Zone
16.31,0.9308,Twilight_Zone
37.79,0.9276,Intermediate
37.4,0.911,Intermediate
22.74,0.9365,Intermediate
46.32,0.9299,Intermediate
27.97,0.8644,Intermediate
23.89,0.8847,Intermediate
46.66,0.8597,Intermediate
48.67,0.9035,Intermediate
45.86,0.9502,Intermediate
44.29,0.8651,Intermediate
39.66,0.931,Intermediate
36.53,0.8947,Intermediate
22.61,0.8185,Intermediate
32.25,0.8889,Intermediate
31.18,0.9503,Intermediate
27.79,0.9354,Intermediate
41.7,0.9238,Intermediate
34.88,0.8754,Intermediate
22.43,0.8719,Intermediate
26.61,0.9527,Intermediate
40.5,0.8803,Intermediate
22.28,0.8462,Intermediate
45.54,0.9542,Intermediate
34.85,0.8929,Intermediate
34.42,0.8808,Intermediate
37.77,0.9196,Intermediate
44.74,0.9368,Intermediate
30.43,0.8964,Intermediate
40.34,0.8993,Intermediate
36.97,0.794,Intermediate
28.01,0.8678,Intermediate
46.36,0.9327,Intermediate
43.92,0.943,Intermediate
39.75,0.8543,Intermediate
45.52,0.8979,Intermediate
46.02,0.8634,Intermediate
41.25,0.8828,Intermediate
45.11,0.9332,Intermediate
40.92,0.9105,Intermediate
40.4,0.9134,Intermediate
38.56,0.937,Intermediate
42.58,0.9361,Intermediate
24.76,0.8815,Intermediate
46.43,0.9324,Intermediate
46.16,0.8738,Intermediate
20.88,0.9005,Intermediate
44.77,0.9662,Intermediate
23.87,0.9067,Intermediate
30.05,0.8925,Intermediate
42.31,0.8892,Intermediate
24.82,0.9224,Intermediate
44.54,0.8475,Intermediate
44.96,0.9449,Intermediate
35.22,0.8698,Intermediate
20.19,0.9385,Intermediate
28.61,0.9342,Intermediate
38.51,0.9147,Intermediate
49.44,0.8915,Intermediate
38.95,0.9362,Intermediate
27.79,0.9404,Intermediate
39.02,0.9535,Intermediate
36.2,0.9624,Intermediate
43.4,0.8883,Intermediate
23.21,0.8901,Intermediate
42.83,0.9237,Intermediate
36.24,0.8626,Intermediate
48.89,0.9211,Intermediate
30.26,0.9323,Intermediate
38.98,0.9184,Intermediate
47.96,0.8807,Intermediate
23.08,0.9436,Intermediate
48.12,0.8583,Intermediate
40.64,0.9371,Intermediate
22.04,0.9263,Intermediate
29.03,0.8792,Intermediate
41.25,0.9194,Intermediate
22.02,0.8886,Intermediate
37.47,0.8856,Intermediate
30.38,0.9031,Intermediate
38.63,0.9149,Intermediate
21.37,0.8909,Intermediate
46.15,0.9605,Intermediate
49.2,0.9145,Intermediate
49.07,0.8658,Intermediate
42.49,0.9039,Intermediate
23.9,0.8934,Intermediate
42.75,0.9056,Intermediate
20.74,0.9497,Intermediate
20.66,0.8382,Intermediate
29.71,0.9176,Intermediate
34.66,0.8202,Intermediate
43.11,0.951,Intermediate
40.5,0.8963,Intermediate
33.38,0.9104,Intermediate
28.21,0.9325,Intermediate
49.91,0.8439,Intermediate
32.79,0.8923,Intermediate
33.54,0.9348,Intermediate
24.91,0.9054,Intermediate
43.84,0.9017,Intermediate
40.81,0.9423,Intermediate
26.62,0.8876,Intermediate
22.47,0.8826,Intermediate
40.41,0.8629,Intermediate
39.64,0.9093,Intermediate
28.2,0.9533,Intermediate
48.53,0.8809,Intermediate
24.53,0.8925,Intermediate
32.97,0.8792,Intermediate
48.31,0.9021,Intermediate
32.59,0.8531,Intermediate
39.16,0.8912,Intermediate
31.93,0.9343,Intermediate
28.23,0.8857,Intermediate
49.52,0.9398,Intermediate
32.28,0.8956,Intermediate
46.82,0.8902,Intermediate
26.9,0.8788,Intermediate
26.39,0.9366,Intermediate
20.93,0.9164,Intermediate
39.55,0.9184,Intermediate
31.06,0.908,Intermediate
45.93,0.944,Intermediate
34.2,0.9063,Intermediate
49.05,0.915,Intermediate
25.57,0.9102,Intermediate
46.06,0.9503,Intermediate
43.3,0.9207,Intermediate
43.13,0.9239,Intermediate
45.34,0.881,Intermediate
42.83,0.9464,Intermediate
38.79,0.9406,Intermediate
23.94,0.8845,Intermediate
20.98,0.8749,Intermediate
47.63,0.9137,Intermediate
38.5,0.9552,Intermediate
43.9,0.8262,Intermediate
34.45,0.9425,Intermediate
23.52,0.9475,Intermediate
23.76,0.8955,Intermediate
40.57,0.8706,Intermediate
32.91,0.9435,Intermediate
26.02,0.8119,Intermediate
34.75,0.8949,Intermediate
21.93,0.8969,Intermediate
37.46,0.8942,Intermediate
28.07,0.9665,Intermediate
43.93,0.9171,Intermediate
29.31,0.8747,Intermediate
33.66,0.9322,Intermediate
20.35,0.8657,Intermediate
22.17,0.9242,Intermediate
31.77,0.9054,Intermediate
34.4,0.9325,Intermediate
38.0,0.9171,Intermediate
28.75,0.921,Intermediate
40.85,0.8986,Intermediate
45.8,0.9425,Intermediate
43.4,0.9119,Intermediate
21.19,0.9251,Intermediate
34.42,0.8655,Intermediate
23.15,0.9011,Intermediate
27.26,0.9173,Intermediate
49.6,0.8618,Intermediate
24.27,0.8987,Intermediate
34.97,0.932,Intermediate
38.54,0.8445,Intermediate
41.07,0.8914,Intermediate
36.79,0.8972,Intermediate
20.29,0.9104,Intermediate
29.79,0.871,Intermediate
35.53,0.8864,Intermediate
22.64,0.9297,Intermediate
30.52,0.8873,Intermediate
21.0,0.9439,Intermediate
75.12,0.9528,Homologs
63.78,0.9862,Homologs
88.06,0.9916,Homologs
77.72,0.9608,Homologs
80.46,0.9841,Homologs
88.3,0.9628,Homologs
69.01,0.9717,Homologs
93.92,0.9803,Homologs
75.59,0.9376,Homologs
57.58,0.9629,Homologs
83.4,0.9723,Homologs
88.08,0.9975,Homologs
65.2,0.9917,Homologs
91.14,0.9521,Homologs
93.49,0.9947,Homologs
63.29,0.9894,Homologs
97.21,0.974,Homologs
56.75,0.9968,Homologs
59.7,0.9905,Homologs
58.84,0.9649,Homologs
92.91,0.9919,Homologs
81.41,0.9867,Homologs
57.3,0.9962,Homologs
71.14,0.976,Homologs
79.53,0.9769,Homologs
54.01,0.9783,Homologs
92.36,0.9808,Homologs
88.57,0.9803,Homologs
74.25,0.9764,Homologs
96.42,0.9814,Homologs
70.05,0.983,Homologs
97.24,0.9724,Homologs
82.06,0.9985,Homologs
80.46,0.9941,Homologs
57.97,0.9813,Homologs
92.33,0.9542,Homologs
70.52,0.9904,Homologs
57.79,0.9676,Homologs
50.61,0.9985,Homologs
76.87,0.9824,Homologs
75.32,0.9666,Homologs
84.53,0.969,Homologs
92.73,0.9854,Homologs
53.81,0.9845,Homologs
85.11,0.9691,Homologs
59.0,0.9848,Homologs
91.19,0.9868,Homologs
89.32,0.9507,Homologs
75.96,0.9892,Homologs
84.09,0.9744,Homologs
65.09,0.9713,Homologs
72.62,0.9784,Homologs
89.44,0.9871,Homologs
72.04,0.9476,Homologs
67.17,0.9962,Homologs
73.72,0.9579,Homologs
89.76,0.9812,Homologs
66.09,0.9766,Homologs
58.34,0.9886,Homologs
84.18,0.9894,Homologs
89.65,0.9845,Homologs
54.83,0.9379,Homologs
61.51,0.9514,Homologs
56.81,0.9843,Homologs
66.7,0.9755,Homologs
71.62,0.9834,Homologs
85.94,0.9853,Homologs
81.26,0.9904,Homologs
79.8,0.9913,Homologs
66.91,0.9729,Homologs
90.39,0.9741,Homologs
72.62,0.9729,Homologs
97.0,0.9812,Homologs
80.44,0.9887,Homologs
56.06,0.9895,Homologs
82.46,0.9984,Homologs
65.6,0.9731,Homologs
82.94,0.9981,Homologs
53.34,0.9611,Homologs
58.39,0.9704,Homologs
91.08,0.9434,Homologs
60.9,0.9693,Homologs
90.18,0.9893,Homologs
63.41,0.9774,Homologs
80.86,0.9901,Homologs
83.32,0.9846,Homologs
74.61,0.9542,Homologs
64.65,0.9778,Homologs
60.21,0.9942,Homologs
51.59,0.9873,Homologs
64.59,0.9808,Homologs
81.35,0.9855,Homologs
95.04,0.9643,Homologs
91.82,0.969,Homologs
86.77,0.9798,Homologs
87.85,0.9668,Homologs
81.92,0.9725,Homologs
62.49,0.9943,Homologs
93.55,0.9514,Homologs
82.2,0.9956,Homologs
76.9,0.9953,Homologs
55.33,0.9936,Homologs
71.46,0.9377,Homologs
72.1,0.9698,Homologs
91.5,0.9937,Homologs
76.24,0.9931,Homologs
68.26,0.9833,Homologs
96.89,0.9736,Homologs
55.31,0.9756,Homologs
70.28,0.9773,Homologs
52.02,0.9556,Homologs
85.52,0.9823,Homologs
94.07,0.9795,Homologs
63.44,0.9862,Homologs
91.2,0.9975,Homologs
64.03,0.9788,Homologs
93.72,0.9847,Homologs
86.19,0.9811,Homologs
88.64,0.967,Homologs
50.86,0.9941,Homologs
96.21,0.9875,Homologs
84.88,0.9966,Homologs
64.63,0.9857,Homologs
89.81,0.9993,Homologs
63.51,0.9978,Homologs
