query_pocket,query_protein,target_pocket,target_protein,pocket_similarity_cosine,sequence_identity,fold_query,fold_target,evolutionary_type
PKT_P06315_125147,P06315,PKT_Q9HCC6_308904,Q9HCC6,0.9783,0.1954,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P54107_155217,P54107,PKT_Q02979_361232,Q02979,0.9783,0.1411,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q6ZVX9_266524,Q6ZVX9,PKT_P0CX44_83027,P0CX44,0.9783,0.1408,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q7RTU9_272653,Q7RTU9,PKT_O94742_228603,O94742,0.9783,0.137,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q8IZS6_306030,Q8IZS6,PKT_Q9Y5Y2_136449,Q9Y5Y2,0.9783,0.1772,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P26570_224886,P26570,PKT_P53309_190550,P53309,0.9782,0.1201,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P46984_194223,P46984,PKT_Q02725_0000,Q02725,0.9782,0.1945,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P38319_126586,P38319,PKT_Q86WS3_155117,Q86WS3,0.9782,0.1244,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q02725_0000,Q02725,PKT_Q03169_175132,Q03169,0.9782,0.1439,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P10127_320644,P10127,PKT_Q9Y5H4_260053,Q9Y5H4,0.9782,0.1794,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P10862_326510,P10862,PKT_Q9NYJ1_192213,Q9NYJ1,0.9782,0.1317,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P34223_204239,P34223,PKT_P38230_366646,P38230,0.9782,0.186,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P53277_105512,P53277,PKT_Q07657_11092,Q07657,0.9782,0.1725,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q99260_390555,Q99260,PKT_Q07471_162946,Q07471,0.9782,0.1209,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P38925_11740,P38925,PKT_P45818_106844,P45818,0.9782,0.1907,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P45818_106844,P45818,PKT_P38925_11740,P38925,0.9782,0.1725,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P48558_139458,P48558,PKT_P47083_44321,P47083,0.9782,0.1533,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P54781_234549,P54781,PKT_Q02785_354259,Q02785,0.9782,0.1456,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P28627_380884,P28627,PKT_Q66K66_352161,Q66K66,0.9782,0.1275,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q07471_162946,Q07471,PKT_Q99260_390555,Q99260,0.9782,0.1624,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P0CD90_348983,P0CD90,PKT_P43603_102092,P43603,0.9782,0.1822,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9C056_143009,Q9C056,PKT_P39081_325938,P39081,0.9782,0.1417,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9H4M9_267812,Q9H4M9,PKT_P54837_416061,P54837,0.9782,0.1448,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9NP97_387518,Q9NP97,PKT_Q8NC44_87906,Q8NC44,0.9782,0.1966,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q9NQZ2_16991,Q9NQZ2,PKT_Q6ZTR7_7385,Q6ZTR7,0.9782,0.1853,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q8NGX3_100302,Q8NGX3,PKT_Q8IUR0_160019,Q8IUR0,0.9782,0.1627,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9C009_157687,Q9C009,PKT_Q05930_133849,Q05930,0.9782,0.1541,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q9Y5H4_260053,Q9Y5H4,PKT_P10127_320644,P10127,0.9782,0.1628,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9H4K1_303031,Q9H4K1,PKT_P0CX44_83027,P0CX44,0.9782,0.172,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_A0M8Q6_53933,A0M8Q6,PKT_Q16589_291768,Q16589,0.9782,0.144,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q03169_175132,Q03169,PKT_Q02725_0000,Q02725,0.9782,0.1769,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q86YV6_296620,Q86YV6,PKT_P40556_298202,P40556,0.9782,0.1533,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q8N365_311759,Q8N365,PKT_Q9Y5Y2_136449,Q9Y5Y2,0.9782,0.1646,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P32639_327001,P32639,PKT_Q03785_291363,Q03785,0.9781,0.1601,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P33401_371673,P33401,PKT_Q17RR3_187986,Q17RR3,0.9781,0.186,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P38719_46172,P38719,PKT_P53150_270592,P53150,0.9781,0.1436,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q06164_25731,Q06164,PKT_P40063_256807,P40063,0.9781,0.1284,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q06409_29079,Q06409,PKT_P09880_221011,P09880,0.9781,0.1353,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P09880_221011,P09880,PKT_Q06409_29079,Q06409,0.9781,0.1562,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P0CX49_228324,P0CX49,PKT_P36039_413811,P36039,0.9781,0.1972,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P32337_403590,P32337,PKT_P14724_98068,P14724,0.9781,0.1262,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P37292_100093,P37292,PKT_P23254_328942,P23254,0.9781,0.1933,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q08957_124012,Q08957,PKT_P37297_239615,P37297,0.9781,0.1532,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q12380_185971,Q12380,PKT_Q76M96_21736,Q76M96,0.9781,0.1433,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P39720_341823,P39720,PKT_P41911_402802,P41911,0.9781,0.1381,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P41911_402802,P41911,PKT_P39720_341823,P39720,0.9781,0.1282,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P0CX43_57296,P0CX43,PKT_P32573_9056,P32573,0.9781,0.1721,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P23337_148244,P23337,PKT_P20052_301451,P20052,0.9781,0.1856,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q03785_291363,Q03785,PKT_P32639_327001,P32639,0.9781,0.1339,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P00942_116926,P00942,PKT_P47083_44321,P47083,0.9781,0.1367,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P15891_253875,P15891,PKT_Q9H3T2_247008,Q9H3T2,0.9781,0.1937,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P33301_42877,P33301,PKT_Q9NPI1_397196,Q9NPI1,0.9781,0.1791,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P38063_121985,P38063,PKT_P53959_448538,P53959,0.9781,0.1247,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P38328_157728,P38328,PKT_P10862_326510,P10862,0.9781,0.1363,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P53959_448538,P53959,PKT_P38063_121985,P38063,0.9781,0.168,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q9H4E7_255250,Q9H4E7,PKT_Q9H7D7_295044,Q9H7D7,0.9781,0.1732,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q9Y4B4_75389,Q9Y4B4,PKT_Q9HD20_380109,Q9HD20,0.9781,0.1938,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q9Y4X5_91545,Q9Y4X5,PKT_P57775_264545,P57775,0.9781,0.1741,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9Y6L7_165256,Q9Y6L7,PKT_P41816_92281,P41816,0.9781,0.1874,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q05048_40737,Q05048,PKT_P39968_42315,P39968,0.9781,0.1277,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9H4B8_301183,Q9H4B8,PKT_P08525_58832,P08525,0.9781,0.1406,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q9Y6S9_50897,Q9Y6S9,PKT_P08566_213434,P08566,0.9781,0.1547,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
